RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U7,SN74AXC8T245PWR,TSSOP-24_PW,1,VCCA,POWER,1V8_MIC,SUPPLY_LOCKED,100 nF local bypass to GND,TI_SCES875C_RevC,Port A and all control thresholds track 1V8_MIC
U7,SN74AXC8T245PWR,TSSOP-24_PW,2,DIR1,INPUT,1V8_MIC,STRAP_DIRECT_HIGH,Direct tie to 1V8_MIC,TI_SCES875C_RevC,DIR1 HIGH fixes channels 1 through 4 from A to B
U7,SN74AXC8T245PWR,TSSOP-24_PW,3,A1,INPUT,PDM_DATA1_1V8,FUNCTION_LOCKED,Direct from J_MIC1 pin 4 with no external pull,TI_SCES875C_RevC_plus_TDK_DS-000383_v1.2,Logical harness net PDM_DATA1; T5838 DATA tri-states during the opposite PDM half-frame
U7,SN74AXC8T245PWR,TSSOP-24_PW,4,A2,INPUT,PDM_DATA2_1V8,FUNCTION_LOCKED,Direct from J_MIC2 pin 4 with no external pull,TI_SCES875C_RevC_plus_TDK_DS-000383_v1.2,Logical harness net PDM_DATA2; T5838 DATA tri-states during the opposite PDM half-frame
U7,SN74AXC8T245PWR,TSSOP-24_PW,5,A3,INPUT,PDM_DATA3_1V8,FUNCTION_LOCKED,Direct from J_MIC3 pin 4 with no external pull,TI_SCES875C_RevC_plus_TDK_DS-000383_v1.2,Logical harness net PDM_DATA3; T5838 DATA tri-states during the opposite PDM half-frame
U7,SN74AXC8T245PWR,TSSOP-24_PW,6,A4,INPUT,PDM_DATA4_1V8,FUNCTION_LOCKED,Direct from J_MIC4 pin 4 with no external pull,TI_SCES875C_RevC_plus_TDK_DS-000383_v1.2,Logical harness net PDM_DATA4; T5838 DATA tri-states during the opposite PDM half-frame
U7,SN74AXC8T245PWR,TSSOP-24_PW,7,A5,OUTPUT,PDM_CLK_1V8,FUNCTION_LOCKED,Common fanout through source-termination network to J_MIC1 through J_MIC4 pin 3,TI_SCES875C_RevC,Logical harness net PDM_CLK; exact passive RefDes and value are controlled by MAIN-AUTH-010 and final-harness SI
U7,SN74AXC8T245PWR,TSSOP-24_PW,8,A6,OUTPUT,AAD_CFG_1V8,FUNCTION_LOCKED,Common fanout to J_MIC1 through J_MIC4 pin 6,TI_SCES875C_RevC_plus_TDK_DS-000383_v1.2,Logical harness net AAD_CFG; THSEL one-wire rise time and write timing remain Review A tests
U7,SN74AXC8T245PWR,TSSOP-24_PW,9,A7,OUTPUT,NC,UNUSED_OUTPUT_NC,No electrical connection,TI_SCES875C_RevC,Unused channel output for fixed B7-to-A7 direction
U7,SN74AXC8T245PWR,TSSOP-24_PW,10,A8,OUTPUT,NC,UNUSED_OUTPUT_NC,No electrical connection,TI_SCES875C_RevC,Unused channel output for fixed B8-to-A8 direction
