Item_ID,Assembly,RefDes,Category,Description,Manufacturer,MPN,Package,Qty_per_station,Qty_4,Spares_4,Procure_qty_4,Qty_10,Spares_10,Procure_qty_10,Qty_20,Spares_20,Procure_qty_20,Spare_policy,Variant,Status,China_source_policy,Incoming_control,Notes,Value,Line_class,Population,Temperature_C,BOM_disposition
ASM-MAIN,PCB-MAIN,-,PCBA,Assembled main controller PCB,Contract manufacturer,TBD,6-layer PCBA,1,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,COMMON,RFQ_REQUIRED,Direct CM quotation,AOI plus X-ray where hidden joints plus functional test,Not released before native schematic layout DFM and Review A/B gates,,PCBA_SERVICE,N/A,N/A,BLOCKED_SUPPLIER_RELEASE
PCB-MAIN,PCB-MAIN,-,Bare PCB,Main controller bare PCB,Qualified PCB fab,TBD,6-layer FR-4 110x75x1.6 mm,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,RFQ_REQUIRED,Two independent fab quotations,Coupon dimensions finish stackup impedance and netlist test,Outline and holes frozen by MAIN-AUTH-011; final stackup and controlled-impedance geometry pending fab review,,BARE_PCB,N/A,N/A,BLOCKED_SUPPLIER_RELEASE
U1,PCB-MAIN,U1,MCU,Ultra-low-power secure MCU,STMicroelectronics,STM32U585VIT6Q,LQFP100_14x14,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_TARGET_SAMPLE,Authorized distributor or traceable tier-1 China channel,Label lot date code package X-ray sample ID readout,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: CubeMX exact-package IOC; target build; sample verification,,ELECTRICAL_COMPONENT,FITTED,-40..85 exact selected part,CONTROLLED_PENDING_VERIFICATION
U2,PCB-MAIN,U2,Memory,512 Mbit 64 MB QSPI NOR,Winbond,W25Q512JVFIQ,SOIC-16_300mil,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_SAMPLE,Authorized or traceable LCSC-class channel,Marking electrical ID read/write/erase soak,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: availability/endurance/power-loss test,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
U3,PCB-MAIN,U3,Motion,Low-power accelerometer,STMicroelectronics,LIS2DW12TR,LGA-12_2x2mm,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_SAMPLE,Authorized distributor,Marking orientation WHO_AM_I and self-test,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: orientation/self-test verification,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
U4,PCB-MAIN,U4,Temperature,Digital temperature sensor,STMicroelectronics,STTS22HTR,UDFN-6L_2x2mm,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_ASSEMBLY_REVIEW,Authorized distributor,X-ray sample ID and temperature compare,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: CM UDFN yield; exposed-pad land pattern; thermal response validation,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED_PENDING_VERIFICATION
U7,PCB-MAIN,U7,Level translator,Directional 1.8V to 3.3V translator,Texas Instruments,SN74AXC8T245PWR,TSSOP-24,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_SI_AAD_SAMPLE,Do not substitute auto-direction device without review,Logic levels direction leakage sleep test,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: PDM skew and final-harness SI; PDM_CLK source termination; THSEL one-wire fanout/timing; measured S0 current,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED_PENDING_VERIFICATION
U8,PCB-MAIN,U8,Cellular,LPWA modem Cat M1 NB2 EGPRS,Quectel,BG95-M3,LGA-102_23.6x19.9mm,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_INCOMING_ID_AND_POST_ASSEMBLY_EVT,Quectel authorized channel or CM with traceability,IMEI label firmware RF conducted attach TLS,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: ordered module marking and firmware identity at incoming inspection; operator attach; LTE and EGPRS burst; certification; cold-limit qualification,,ELECTRICAL_COMPONENT,FITTED,-35..75 operating; -40..85 extended,CONTROLLED_PENDING_VERIFICATION
J-SIM1,PCB-MAIN,J6,SIM,Nano-SIM push-push connector slot 1,TE Connectivity,2336582-1,Nano-SIM 4FF connector with DET,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,TECHNICALLY_SELECTED_PROCUREMENT_RISK,Approved connector vendor,Mating cycles card detect coplanarity and ESD,Rev.A connector freeze; blockers: TE page reports active but not currently available; qualify a pin/footprint/temperature/lifecycle-compatible 4FF DET second source before release,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
J-SIM2,PCB-MAIN,J7,SIM,Nano-SIM push-push connector slot 2,TE Connectivity,2336582-1,Nano-SIM 4FF connector with DET,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,TECHNICALLY_SELECTED_PROCUREMENT_RISK,Approved connector vendor,Mating cycles card detect coplanarity and ESD,Rev.A connector freeze; blockers: same as SIM1; source two identical slots for lot or qualify one common second source,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
