IC_ID,Incoming_Item,Lot_Definition,Control,Sample,Acceptance,Equipment,Evidence,Failure_Action,Status
IC-001,Bare PCB each revision,One fabrication batch,Commercial receipt reconciliation,ALL_SHIPMENTS_DOCUMENT_RECONCILIATION,Purchase-order line revision quantity and visible shipping condition agree,Document review,Purchase order and packing slip,Hold only the discrepant shipment line and resolve with supplier,OPEN
IC-002,Bare PCB each revision,One fabrication batch,Supplier electrical net-test evidence,100_PERCENT_SUPPLIER,All boards supplier e-tested and report references the released netlist,Net-test report,Report identifier and hash,Stop the affected fabrication batch until report discrepancy is resolved,OPEN
IC-003,Bare PCB each revision,One fabrication batch,Selected-lot first article dimensions finish stackup and coupon,FIRST_ARTICLE_PLUS_DRAWING_DEFINED_FEATURES,Measured controlled features and finish comply with the released drawing,Caliper microscope and supplier coupon,FAI measurements and coupon report,Stop only affected fabrication batch and open supplier NCR,OPEN
IC-004,PCBA each assembly and revision,One assembly batch,Assembler AOI and visual process control,100_PERCENT_ASSEMBLER_AOI,No wrong polarity bridge tombstone missing part or unapproved DNP,AOI plus microscope,AOI export and defect log,Rework affected unit under approved instruction and expand only for systemic defect,OPEN
IC-005,PCBA hidden termination risk,One assembly batch,Process-defined X-ray at first article and suspect locations,PROCESS_DEFINED_FIRST_ARTICLE_AND_SUSPECTS,No void short open or placement defect beyond the released criterion,X-ray,X-ray records linked to serial or panel,Stop affected assembly units and expand scope only when defect is systemic,OPEN
IC-006,MCU and security-critical IC,One purchase shipment,PO and packing-slip reconciliation followed by electrical identity at PCBA EOL,DOCUMENT_ONLY_AT_RECEIPT_FUNCTIONAL_AT_PCBA_EOL,Exact manufacturer MPN and package were ordered with no substitution and device identity passes EOL,Document review ESD workstation and programmer,Purchase record plus PCBA EOL identity log,Hold only an obvious mismatched or damaged package; expand review only for systemic discrepancy,OPEN
IC-007,Cellular modem,One purchase shipment,PO reconciliation followed by IMEI firmware and conducted power-up at PCBA EOL,ALL_UNITS_AT_PCBA_EOL,Exact BG95-M3 identity unique valid IMEI and approved firmware baseline pass,Fixture and modem tool,Purchase record and IMEI register without credentials,Remove failed module from assembly flow and expand review only if systemic,OPEN
IC-008,LoRa module,One purchase shipment,PO reconciliation followed by identity sleep-current and conducted-RF checks at EOL and EVT,ALL_UNITS_FUNCTIONAL_AT_EOL_RF_DURING_EVT,Exact E22-900M22S castellated-ANT identity and sleep behavior pass; RF evidence meets approved profile,Fixture RF load and analyzer,Purchase record module EOL log and EVT RF plots,Remove failed unit and expand review only if systemic,OPEN
IC-009,GNSS module,One purchase shipment,PO reconciliation followed by identity fix and TIMEPULSE at PCBA EOL,ALL_UNITS_AT_PCBA_EOL,Exact MAX-M10S-00B identity fix and TIMEPULSE pass in controlled setup,GNSS simulator or known-good antenna,Purchase record and receiver logs,Remove failed unit and expand review only if systemic,OPEN
IC-010,MEMS microphones,One purchase shipment,PO reconciliation followed by port inspection and acoustic EOL,ALL_UNITS_AT_ASSEMBLY_AND_EOL,Exact MMICT5838-00-012 identity has no port damage and assembled channel meets released acoustic limits,Microscope and acoustic fixture,Purchase record and channel sensitivity data,Remove failed unit and expand review only for systematic shift,OPEN
IC-011,RELiON RB40 battery pack,One purchase shipment,Commercial receipt plus every-unit safe installation and EVT qualification,ALL_UNITS_SAFETY_AT_INSTALLATION_FUNCTIONAL_DURING_EVT,Exact RB40 line quantity and shipping condition agree; polarity and open-circuit voltage are safe at installation; capacity DCIR BMS and cold behavior meet EVT criteria,DMM DC load battery cycler scale and chamber,Purchase and packing records applicable transport documents installation record and EVT curves,Isolate an unsafe or damaged unit in the designated battery-safe area; expand review only if systemic,OPEN
IC-012,Victron SCC075010060R plus SBS050150200,One purchase shipment,Commercial receipt followed by installation configuration EOL and cold-system EVT,ALL_UNITS_AT_INSTALLATION_AND_EOL_COLD_VALIDATION_DURING_EVT,Exact articles install with approved terminal stack; VE.Smart reports battery temperature; 0 C inhibit reconnect reverse current quiescent and thermal behavior meet released criteria,PV simulator battery simulator load logger torque tools pull gauge and chamber,Purchase record configuration export retention data charge curves network log and thermal results,Remove failed article from assembly flow and expand review only if systemic,OPEN
IC-013,SLD Tech SLP080S-12M solar panel,One purchase shipment,Commercial receipt followed by installed-unit checks and panel EVT,ALL_UNITS_DAMAGE_AND_VOC_AT_INSTALLATION_FULL_VALIDATION_DURING_EVT,Exact model has no visible transit damage; installed Voc polarity and dimensions are correct; IV insulation wet leakage and cold-Voc meet released criteria,PV analyzer insulation tester light source and chamber,Purchase record installation checks and EVT IV records,Remove damaged or failed panel and expand review only if systemic,OPEN
IC-014,Taoglas G30.B.108111 AA.166.A.301111 TI.89.B.2111W and CAB.0243,One purchase shipment per exact MPN,Commercial receipt followed by installed continuity mate route seal and RF validation,ALL_INSTALLED_CABLES_AT_EOL_RF_AND_ENVIRONMENT_DURING_EVT,Exact no-substitution identities and normal SMA polarity install correctly; CAB.0243 follows the 6.8 mm bend limit and the complete chain meets released seal and RF limits,VNA continuity fixture pull gauge torque tools seal fixture and chamber,Purchase record EOL continuity and mate log plus EVT S-parameter seal and temperature records,Remove failed item from assembly flow and expand review only if systemic,OPEN
IC-015,Harnesses,One custom manufacturing batch,Selected-lot continuity polarity dimensions and process first article,100_PERCENT_CONTINUITY_PLUS_PROCESS_FIRST_ARTICLE,Every harness passes net and polarity test and first-article retention meets the released drawing,Harness tester caliper and pull gauge,Tester export FAI and controlled measurements,Return or rework affected harness under approved instruction; expand only if systemic,OPEN
IC-016,Housing parts each technology,One custom manufacturing batch,Selected-lot visual inspection and drawing-defined first article,ALL_UNITS_VISUAL_PLUS_DRAWING_DEFINED_FIRST_ARTICLE,Released material drawing critical dimensions gasket land and fit are satisfied,CMM or calibrated tools and microscope,FAI measurements material record and defect log,Stop affected manufacturing batch and open supplier NCR only for confirmed discrepancy,OPEN
IC-017,Fasteners glands membranes gaskets,One purchase shipment,Commercial receipt followed by fit during normal assembly,DOCUMENT_ONLY_AT_RECEIPT_FIT_DURING_ASSEMBLY,Exact manufacturer MPN or released specification was ordered with no substitution and installed fit passes,Document review caliper thread gauge and assembly fixture,Purchase record and assembly traveller,Hold only mismatched damaged or non-fitting item; expand review only if systemic,OPEN
IC-018,Moisture-sensitive components,One shipment,MSL package humidity-card and floor-life handling,ALL_MSL_PACKAGES,Package is sealed indicator is valid and exposure time is tracked,ESD workstation and MSL log,MSL handling log,Segregate only affected exposed package and follow the approved bake or disposition process,OPEN
IC-019,SIM mux and two SIM connectors,One purchase shipment,PO reconciliation followed by coplanarity card-detect leakage and switching at assembly and EOL,ALL_UNITS_AT_ASSEMBLY_AND_EOL,Exact approved MPN and footprint are installed; both slots map to the correct ICCID without waveform violation,Microscope fixture scope and BG95 test firmware,Purchase record EOL waveforms cycle log and ICCID references,Remove failed unit and expand review only if systemic; schematic review on repeated failure,OPEN
