Procurement_ID,Assemblies,Item_IDs,RefDes,Category,Manufacturer,MPN,Package,Value,Variant,Population,Qty_4,Spares_4,Procure_qty_4,Qty_10,Spares_10,Procure_qty_10,Qty_20,Spares_20,Procure_qty_20,Spare_policy,BOM_disposition,Status,China_source_policy,Incoming_control
PR-001,SYSTEM,ANT-CELL,AE1,Antenna,TBD,TBD,IP-rated,,COMMON,FITTED,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SELECTION,RFQ_REQUIRED,Antenna manufacturer with reports,VSWR cable loss connector environmental
PR-002,SYSTEM,ANT-GNSS,AE2,Antenna,TBD,TBD,IP-rated,,COMMON,FITTED,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SELECTION,RFQ_REQUIRED,Antenna manufacturer with reports,Gain current VSWR fix PPS environmental
PR-003,SYSTEM,ANT-LORA,AE3,Antenna,TBD,TBD,IP-rated,,RU868_PILOT,FITTED,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SELECTION,RFQ_REQUIRED,Antenna manufacturer with reports,VSWR cable loss conducted and radiated test
PR-004,PCB-MAIN,ASM-MAIN,-,PCBA,Contract manufacturer,TBD,6-layer PCBA,,COMMON,N/A,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SUPPLIER_RELEASE,RFQ_REQUIRED,Direct CM quotation,AOI plus X-ray where hidden joints plus functional test
PR-005,PCB-MIC,ASM-MIC,-,PCBA,Contract manufacturer,TBD,2-layer PCBA,,COMMON,N/A,16,2,18,40,4,44,80,8,88,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SUPPLIER_RELEASE,RFQ_REQUIRED,Direct CM quotation,AOI acoustic port inspection channel functional test
PR-006,PCB-PWR,ASM-PWR,-,PCBA,Contract manufacturer,TBD,4-layer PCBA; outer 2 oz target; inner 1 oz target; final stackup pending DFM,,COMMON,N/A,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SUPPLIER_RELEASE,RFQ_REQUIRED,Direct CM quotation,AOI functional high-current thermal
PR-007,SYSTEM,BAT1,BT1,Battery,TBD,TBD,Pack,,COMMON,FITTED,4,1,5,10,1,11,20,1,21,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SELECTION,RFQ_REQUIRED,Cell maker traceability UN38.3 MSDS and China export capability,Capacity DCIR BMS thresholds low-temp charge inhibit
PR-008,SYSTEM,HARNESS,-,Harness,TBD,TBD,Assembly,,COMMON,FITTED,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SELECTION,OPEN_MECHANICAL_LENGTH_FREEZE,Qualified harness factory,100 percent continuity polarity pull sample
PR-009,SYSTEM,HSG-3D,HSG1,Housing,TBD,TBD,Assembly,,THREE_D_PRINT_FALLBACK,N/A,0,0,0,0,0,0,0,0,0,NONE,CONDITIONAL_NOT_RELEASED,SOURCE_PACKAGE_REQUIRED,Qualified print supplier or controlled FlashForge 5M Pro process,Engineering sample dimensions material finish leak fit acoustic and RF checks
PR-010,SYSTEM,HSG-IM,HSG1,Housing,TBD,TBD,Source_data,,INJECTION_MOLDING_FUTURE,N/A,0,0,0,0,0,0,0,0,0,NONE,CONDITIONAL_NOT_RELEASED,SOURCE_PACKAGE_REQUIRED,Qualified mold manufacturer for DFM quotation,Source audit wall draft ribs bosses parting ejector shrink material and tooling concept
