Gate_ID,Required_Party,Requirement,Required_Evidence,Disposition,Response_Value,Response_Reference,Responder,Response_Date,Blocking
DIM003-COORDINATE-DATUM,EE_ME,"Define the PCB mechanical coordinate system including origin axes component side and the datum shared by PCB STEP enclosure CAD and fixture drawings","Controlled datum drawing or annotated CAD view",ACCEPTED_EVT_ENGINEERING,"Origin at lower-left Edge.Cuts; +X east; +Y north; +Z from PCB bottom face; mm","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.md#контур-база-и-крепление","Project engineering / owner-authorized",2026-09-21,NO
DIM003-OUTLINE-DISPOSITION,EE_ME,"Explicitly accept the provisional 90.00 x 60.00 mm outline or identify a controlled ECO before any routing begins","Signed disposition referencing the candidate board and required ECO if rejected",ACCEPTED_EVT_ENGINEERING,"Accept 90.00 x 60.00 mm for EVT; serial revalidation mandatory","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.json","Project engineering / owner-authorized",2026-09-21,NO
DIM003-OUTLINE-GEOMETRY,MECHANICAL,"Return the complete final Edge.Cuts geometry including overall dimensions corner radii cut-outs slots and edge tolerances in the controlled datum","Dimensioned drawing plus native CAD or neutral geometry",ACCEPTED_EVT_ENGINEERING,"Four straight Edge.Cuts; no cut-outs or slots; profile tolerance +/-0.15 mm","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.json","Project engineering / owner-authorized",2026-09-21,NO
DIM003-THICKNESS-TOLERANCE,EE_ME_FABRICATION,"State the required finished PCB thickness and tolerance confirm compatibility with enclosure capture mounting and connector service and reconcile the value with the selected fabricator stackup","Mechanical requirement tied to the selected fabricator stackup response",ACCEPTED_EVT_ENGINEERING,"Finished thickness 1.60 +/-0.16 mm; fabricator construction remains separately gated","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.json","Project engineering / owner-authorized",2026-09-21,NO
DIM003-MOUNTING-PATTERN,MECHANICAL,"Define mounting-hole count type finished diameter coordinates tolerances copper keep-outs and any plated or non-plated requirement","Dimensioned mounting pattern in the controlled datum",ACCEPTED_EVT_ENGINEERING,"H1 (5;5) H2 (82;5) H3 (68;55) H4 (5;55); round NPTH D3.4 +/-0.1; position +/-0.1; D8 no copper; D10 no fitted body","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.md#контур-база-и-крепление","Project engineering / owner-authorized",2026-09-21,NO
DIM003-MOUNTING-HARDWARE,MECHANICAL_MANUFACTURING,"Identify standoffs screws washers inserts torque retention and board-support surfaces including required component and copper keep-outs","Released mounting hardware list and section drawing",ACCEPTED_EVT_ENGINEERING,"M3; four 5 mm standoffs; face >=6 mm; washer <=7 mm; torque <=0.4 N*m; nylon isolation for conductive hardware; no PCB slots","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.md#контур-база-и-крепление","Project engineering / owner-authorized",2026-09-21,NO
DIM003-ASSEMBLED-Z-ENVELOPE,EE_ME,"Return maximum assembled top and bottom heights including component tolerances solder standoffs and required enclosure clearance","Height map or checked PCB assembly STEP with tolerance statement",ACCEPTED_EVT_ENGINEERING,"Conservative assembled Z -3.0..+18.0 mm from PCB bottom; free space >=5 mm below and >=20 mm above","mechanics/pcb_pwr/PCB_PWR_EVT_MECHANICAL_ENVELOPE_REV_A.step","Project engineering / owner-authorized",2026-09-21,NO
DIM003-J1-MATING-VOLUME,EE_HARNESS_ME,"Define the J1 mating plug insertion extraction latch or tool access and no-obstruction volume relative to the PCB datum","Connector service-volume CAD and annotated section using the controlled mating part",ACCEPTED_EVT_ENGINEERING,"Top-entry +Z; service box [0;20;1.6]..[12;40;40] mm","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.json","Project engineering / owner-authorized",2026-09-21,NO
DIM003-J1-CABLE-VOLUME,HARNESS_MECHANICAL,"Define the battery cable exit direction conductor bend radius strain relief clamp and service slack volume at J1","Harness route CAD or dimensioned cable-envelope drawing",ACCEPTED_EVT_ENGINEERING,"Exit +Z then west; conductor bend radius >=20 mm; strain relief required","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.json","Project engineering / owner-authorized",2026-09-21,NO
DIM003-J2-MATING-VOLUME,EE_HARNESS_ME,"Define the J2 mating plug insertion extraction latch or tool access and no-obstruction volume relative to the PCB datum","Connector service-volume CAD and annotated section using the controlled mating part",ACCEPTED_EVT_ENGINEERING,"East insertion +X; service box [80;35;1.6]..[130;60;22] mm","hardware/reviews/PCB_PWR_DIM_003_EVT_AUTHORITY_REV_A.json","Project engineering / owner-authorized",2026-09-21,NO
