Component_ID,Assembly,Function,Manufacturer,MPN,Package,Electrical_Baseline,Temperature_C,Qty_per_station,Status,Release_Blockers,Evidence,Notes
PWR-REV-CTL,PCB-PWR,Reverse-polarity and reverse-current ideal-diode controller,Texas Instruments,LM74700QDBVRQ1,SOT-23-6,"3.2-65 V controller; external N-MOSFET; low-loss reverse protection","-40..125",1,SELECTED_PENDING_SCHEMATIC_SAMPLE,"surge/fuse coordination; gate network review; bench reverse test","TI LM74700-Q1 active product","Use at VBAT input ahead of DC/DC rails"
PWR-REV-FET,PCB-PWR,External N-MOSFET for ideal-diode stage,Texas Instruments,CSD18540Q5B,VSON-CLIP 5x6 mm,"60 V; Rds(on) <=2.2 mOhm at VGS=10 V","-55..175",1,SELECTED_TECHNICALLY_PROCUREMENT_CHECK,"authorized-channel stock; SOA/thermal calculation; gate transient review","TI CSD18540Q5B active product","Equivalent 60 V FET only after footprint/SOA/Rds(on) review"
PWR-TVS-01,PCB-PWR,Protected-bus transient clamp,Littelfuse,SMBJ18A,SMB_DO-214AA,"18 V standoff; 20.0-22.1 V breakdown; 29.2 V max clamp; 600 W class","-65..150",1,CANDIDATE_PENDING_SURGE_PROFILE,"measured/source transient envelope; fuse coordination; thermal pulse test","Littelfuse SMBJ series datasheet","Do not release TVS value until MPPT/battery harness transient profile is measured"
PWR-FUSE-01,PCB-PWR,PCB input fuse,Littelfuse,0451008.MRL,Nano2_451_6.1x2.69mm,"8 A nominal; 0.0077 Ohm nominal cold resistance; 20.23 A2s nominal melting I2t; standard 25% continuous derating plus temperature rerating required","-55..125",1,CANDIDATE_SELECTED_FOR_EVT_QUALIFICATION_NATIVE_VALUE_ECO_APPLIED_REPEAT_EVIDENCE_PASS_PHYSICAL_QUALIFICATION_PENDING,"native value-only ECO applied with footprint placement topology and nets retained; repeat ERC/PDF/human hierarchy review PASS; +70 C derating; inrush; fault energy; 8.5 A connector ceiling; battery-side primary-fuse coordination","Littelfuse 451/453 series datasheet and 0451008 product page; Molex 43045-0213 and 43030-0038 product data","0451005.MRL remains rejected historical provenance; active native F1 is 0451008.MRL; do not release PCBA procurement until physical qualification closes"
U-PWR1,PCB-PWR,3.8 V modem synchronous buck,Texas Instruments,LMR604403SRAKR,RAK-9,"3-36 V input; 4 A; TI-verified adjustable mode; 3.8 V nominal; low-Iq synchronous buck","-40..125",1,SELECTED_PENDING_DESIGN_CALC_SAMPLE,"C11 effective capacitance under bias; C20 local CIN_HF placement; 2.7 A+ BG95 burst; EMI; thermal","TI LMR60440 SNAS877 device comparison and application tables","Exact orderable explicitly supports 3.3 V fixed / adjustable; U3 divider parallel resistance 26.3 kOhm selects adjustable mode; layout must follow TI hot-loop guidance"
U-PWR2,PCB-PWR,3.3 V digital/AON synchronous buck,Texas Instruments,LMR604403SRAKR,RAK-9,"3-36 V input; 4 A; TI-verified fixed 3.3 V mode; low-Iq synchronous buck","-40..125",1,SELECTED_PENDING_DESIGN_CALC_SAMPLE,"C12 effective capacitance under bias; C21 local CIN_HF placement; load-step; sleep-current; EMI; thermal","TI LMR60440 SNAS877 device comparison and application tables","Exact orderable explicitly supports 3.3 V fixed / adjustable; U4 FB direct to VOUT selects fixed 3.3 V; Rev.A keeps merged AON rail"
PWR-L,PCB-PWR,3.8 V and 3.3 V buck inductors,Coilcraft,XAL7030-472MEC,XAL7030,"4.7 uH +/-20%; DCR 30.0 mOhm max; Isat 10.1 A; Irms 6.9 A at 20 C rise; AEC-Q200","-40..125 ambient / +165 component",2,SELECTED_PENDING_LAYOUT_THERMAL_EMI,"placement and hot-loop review; 0.48 W max-DCR loss at 4 A; +70 C thermal; load-step; EMI","Coilcraft XAL7030 document 863 revised 02/25/26","Connect each SW/high-dV/dt node to the marked start/short lead for lowest EMI"
U-PWR3,PCB-PWR,1.8 V low-noise microphone regulator,Texas Instruments,TPS7A2018PDBVR,SOT-23-5,"fixed 1.8 V; 300 mA; low-noise/high-PSRR LDO","-40..125",1,SELECTED_PENDING_NOISE_SAMPLE,"input/output capacitor review; PDM noise test; enable sequencing","TI TPS7A20 active product","Supplied from 3.3 V rail; four T5838 plus translator-side 1.8 V load included"
U-MON-01,PCB-PWR,Total battery input current/voltage/power monitor,Texas Instruments,INA226AIDGSR,VSSOP-10,"3.3 V I2C; address 0x40; 10 mOhm Kelvin shunt capture; Current_LSB 200 uA/bit; Power_LSB 5 mW/bit","-40..125",1,SELECTED_REV_A_12PIN_I2C,"Kelvin layout review; I2C harness capacitance/pull-up test; calibration against reference meter","TI INA226 product data plus EVT-PRE-20 power calculation","Located on PCB-PWR after protected battery input and before rail branching; I2C2 reaches PCB-MAIN on CON-004 pins 11/12; ALERT may contribute to aggregate FAULT but does not replace I2C telemetry"
R-SHUNT-01,PCB-PWR,Total battery current shunt,Vishay Dale,WSK2512R0100FEA,WSK2512 4-terminal 6.35x3.18 mm,"10 mOhm +/-1%; 1 W at 70 C; TCR +/-35 ppm/C; true four-terminal Kelvin","-65..170",1,SELECTED_PENDING_KELVIN_LAYOUT_SAMPLE,"Kelvin routing review; +70 C thermal; four-wire resistance and reference-meter calibration","Vishay WSK2512 document 30108 Rev 11-Dec-2023","At 5 A: 50 mV and 0.25 W, giving the required 4x nominal power-rating margin"
RAIL-AON,PCB-PWR,Always-on policy,Project,MERGED_WITH_3V3_DIGITAL,N/A,"No separate 3V3_AON regulator in Rev.A; use low-Iq 3V3 buck and explicit load enables",N/A,0,ARCHITECTURE_SELECTED,"measured S0 standby current","EVT-PRE-20 power architecture review","May be split only by configuration revision if measured S0 target cannot be met"
