Procurement_ID,Manufacturer,MPN,Category,Unit_price_RUB_estimate,Price_basis,Displayed_source_price,Source_currency,Source_URL,Checked_on,Estimate_confidence,Procure_qty_4,Line_cost_4_RUB_estimate,Procure_qty_10,Line_cost_10_RUB_estimate,Procure_qty_20,Line_cost_20_RUB_estimate,Estimate_note
PR-001,Dioneya controlled design,DIO-ASM-MAIN-REV-A,PCBA,3500,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,6,21000,12,42000,22,77000,Primary full-PCBA procurement track; assembly and EOL service estimate excludes components and remains subject to the CM quotation.
PR-002,Dioneya controlled design,DIO-ASM-MIC-REV-A,PCBA,700,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,18,12600,42,29400,82,57400,Primary full-PCBA procurement track; assembly and EOL service estimate excludes components and remains subject to the CM quotation.
PR-003,Dioneya controlled design,DIO-ASM-PWR-REV-A,PCBA,2800,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,6,16800,12,33600,22,61600,Primary full-PCBA procurement track; assembly and EOL service estimate excludes components and remains subject to the CM quotation.
PR-004,Dioneya controlled design,DIO-HARNESS-SET-REV-A,Harness,4500,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,5,22500,11,49500,22,99000,Rounded engineering estimate pending supplier quotation.
PR-005,TBD,TBD,Housing,12000,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,0,0,0,0,0,0,Rounded engineering estimate pending supplier quotation.
PR-006,TBD,TBD,Housing,250000,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,0,0,0,0,0,0,Rounded engineering estimate pending supplier quotation.
PR-007,Dioneya controlled design,DIO-HSG-VC-REV-A,Housing,18000,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,4,72000,10,180000,20,360000,Rounded engineering estimate pending supplier quotation.
PR-008,Dioneya controlled design,DIO-PCB-MAIN-REV-A,Bare PCB,2200,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,6,13200,12,26400,22,48400,Alternative bare-PCB quotation track only; do not add to the selected full-PCBA purchase set.
PR-009,Dioneya controlled design,DIO-PCB-MIC-REV-A,Bare PCB,350,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,18,6300,42,14700,82,28700,Alternative bare-PCB quotation track only; do not add to the selected full-PCBA purchase set.
PR-010,Dioneya controlled design,DIO-PCB-PWR-REV-A,Bare PCB,1600,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,6,9600,12,19200,22,35200,Alternative bare-PCB quotation track only; do not add to the selected full-PCBA purchase set.
PR-011,Littelfuse,0451008.MRL,Protection,250,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,6,1500,15,3750,30,7500,Rounded engineering estimate pending supplier quotation.
PR-012,TE Connectivity,2336582-1,SIM,550,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,10,5500,26,14300,50,27500,Rounded engineering estimate pending supplier quotation.
PR-013,Molex,43025-1200,Housing,500,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,9,4500,22,11000,44,22000,Rounded engineering estimate pending supplier quotation.
PR-014,Molex,43030-0001,Terminal,45,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,51,2295,126,5670,252,11340,Rounded engineering estimate pending supplier quotation.
PR-015,Molex,43030-0038,Terminal,55,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,51,2805,126,6930,252,13860,Rounded engineering estimate pending supplier quotation.
PR-016,Molex,430450213,Connector,350,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,5,1750,13,4550,25,8750,Rounded engineering estimate pending supplier quotation.
PR-017,Molex,430451202,Connector,900,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,10,9000,26,23400,50,45000,Rounded engineering estimate pending supplier quotation.
PR-018,Molex,5040500291,Connector,250,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,5,1250,13,3250,25,6250,Rounded engineering estimate pending supplier quotation.
PR-019,Molex,5040500691,Connector,480,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,38,18240,92,44160,184,88320,Rounded engineering estimate pending supplier quotation.
PR-020,Molex,5040510601,Housing,180,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,36,6480,88,15840,176,31680,Rounded engineering estimate pending supplier quotation.
PR-021,Molex,5040520098,Terminal,35,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,240,8400,528,18480,1008,35280,Rounded engineering estimate pending supplier quotation.
PR-022,Taoglas,AA.166.A.301111,Antenna,3300,PUBLIC_AUTHORIZED_CHANNEL_PRICE,EUR 23.80 at qty 10,EUR,https://www.mouser.lu/en/ProductDetail/Taoglas/AA.166.A.301111?qs=MLItCLRbWsy9cGP7TTjqEA%3D%3D,2026-09-18,MEDIUM,5,16500,11,36300,22,72600,Published price converted to a rounded landed-RUB planning value; final cart/quote controls.
PR-023,Abracon,ABSES5AF-L100KM,SAW_Filter,550,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,4,2200,10,5500,20,11000,Rounded engineering estimate pending supplier quotation.
PR-024,Quectel,BG95-M3,Cellular,3500,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,5,17500,13,45500,25,87500,Rounded engineering estimate pending supplier quotation.
PR-025,Murata,BLM31KN601SN1L,Ferrite_Bead,45,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,4,180,10,450,20,900,Rounded engineering estimate pending supplier quotation.
PR-026,Taoglas,CAB.0243,RF cable,650,PUBLIC_AUTHORIZED_CHANNEL_PRICE,$5.2068 at qty 50,USD,https://www.digikey.com/en/products/detail/taoglas-limited/CAB-0243/24770240,2026-09-18,MEDIUM,14,9100,33,21450,66,42900,Published price converted to a rounded landed-RUB planning value; final cart/quote controls.
PR-027,TDK,CGA2B3X7R1E104K050BB,Passive,25,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,56,1400,80,2000,120,3000,Rounded engineering estimate pending supplier quotation.
PR-028,TDK,CGA2B3X7R1E104K050BB,Passive,25,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,56,1400,80,2000,120,3000,Rounded engineering estimate pending supplier quotation.
PR-029,TDK,CGA3E1X7R1A225K080AC,Passive,25,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,48,1200,60,1500,80,2000,Rounded engineering estimate pending supplier quotation.
PR-030,TDK,CGA3E2X7R1H104K080AA,Passive,25,ENGINEERING_BUDGETARY_ESTIMATE,,RUB,,2026-09-18,LOW,52,1300,70,1750,100,2500,Rounded engineering estimate pending supplier quotation.
