Function,Signal_count,Preferred_peripheral,Candidate_pins,Voltage_domain,Connected_device,Status,Required_check
Microphone PDM clock,1,MDF/SAI,PE9 candidate,1.8V through controlled interface,4x T5838,OPEN_CUBEMX,Clock output AF and fanout SI
Microphone PDM data,4,MDF/ADF,"PE4;PE7;PE10;PE12 candidates",1.8V through controlled interface,4x T5838,OPEN_CUBEMX,Four simultaneous filters and AF mapping
Cellular UART,2,USART1,"PB6;PB7 candidates",MCU 3.3V / modem 1.8V,BG95,OPEN_CUBEMX,AF mapping and directional level translator
Cellular control,4,GPIO,"PB1;PB4;PB12;PB15 candidates",mixed,BG95,OPEN_SCHEMATIC,PWRKEY RESET STATUS DTR voltage levels
GNSS UART,2,USART2,"PA2;PA3 candidates",3.3V,MAX-M10S,OPEN_CUBEMX,AF mapping and boot mode conflict
GNSS PPS,1,TIM input capture,PB3 candidate,3.3V,MAX-M10S,OPEN_CUBEMX,Timer channel timestamp latency
BLE UART,2,USART3,"PB10;PB11 candidates",3.3V,BLE module,OPEN_CUBEMX,AF mapping and boot logs
BLE control,2,GPIO,TBD,3.3V,BLE module,OPEN_SCHEMATIC,Enable reset strap isolation
LoRa SPI,3,SPI1,"PA5;PA6;PA7 candidates",3.3V,E22-900M22S,OPEN_CUBEMX,AF mapping and SD conflict
LoRa control,4,GPIO,"PB0;PB2;PB8;PB9 candidates",3.3V,E22-900M22S,OPEN_CUBEMX,NSS DIO1 BUSY RESET
QSPI NOR,6,OCTOSPI1,"PA3;PA4;PA6;PA7;PB0;PB1 candidates",3.3V,W25Q512,OPEN_CUBEMX,Conflicts with GNSS LoRa and cellular controls
microSD,6,SDMMC1 preferred,TBD,3.3V,microSD,OPEN_CUBEMX,4-bit bus DMA and detect pin
Power and sensors I2C,2,I2C2,"PB13;PB14 candidates",3.3V,INA226 STTS22H LIS2DW12,OPEN_CUBEMX,Address and AF mapping
Load enables and alarms,8,GPIO,TBD,3.3V,PCB-PWR and sensors,OPEN_SCHEMATIC,Wake-capable pins and default-safe states
USB service,2,USB FS,"PA11;PA12 candidate",3.3V,USB-C,OPEN_CUBEMX,USB AF VBUS ESD and connector orientation
SWD,2,SWD,"PA13;PA14",3.3V,programmer,RESERVED,Keep accessible after enclosure assembly
Revision straps,2,GPIO,TBD,3.3V,resistors,OPEN_SCHEMATIC,No boot or debug pin conflict
Test points,12,GPIO/rails,TBD,mixed,EOL fixture,OPEN_DFT,Boundary and functional coverage

