Program_Procurement_ID,Procurement_ID,Assemblies,Item_IDs,Category,Manufacturer,MPN,Package,Value,Variant,Population,Qty_per_station,Production_lots_20,Bench_stations,Total_stations,Base_qty_2x20_plus_1,Spare_qty_two_evt20_lots,Procure_qty_2x20_plus_1,Spare_policy,Procurement_track,BOM_disposition,Status,China_source_policy,Incoming_control,Program_scope
PG-001,PR-001,PCB-MAIN,ASM-MAIN,PCBA,Dioneya controlled design,DIO-ASM-MAIN-REV-A,6-layer PCBA build-to-print service scope,,COMMON,N/A,1,2,1,41,41,4,45,FIXED_LOT_MIN,PRIMARY_FULL_PCBA,CONTROLLED_CUSTOMER_RFQ_SCOPE,CONTROLLED_INTERNAL_ARTICLE_CUSTOMER_EMS_SELECTION_PENDING,Customer-selected qualified EMS; quotation and purchase outside the engineering repository,AOI plus X-ray where hidden joints plus functional test,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-002,PR-002,PCB-MIC,ASM-MIC,PCBA,Dioneya controlled design,DIO-ASM-MIC-REV-A,2-layer microphone PCBA build-to-print service scope,,COMMON,N/A,4,2,1,41,164,4,168,FIXED_LOT_MIN,PRIMARY_FULL_PCBA,CONTROLLED_CUSTOMER_RFQ_SCOPE,CONTROLLED_INTERNAL_ARTICLE_CUSTOMER_EMS_SELECTION_PENDING,Customer-selected qualified EMS; quotation and purchase outside the engineering repository,AOI acoustic port inspection channel functional test,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-003,PR-003,PCB-PWR,ASM-PWR,PCBA,Dioneya controlled design,DIO-ASM-PWR-REV-A,assembled 4-layer power PCB build-to-print service scope; EVT DIM-003 90x60x1.6 mm and H1-H4 accepted; outer 2 oz target; inner 1 oz target; final stackup pending DFM,,COMMON,N/A,1,2,1,41,41,4,45,FIXED_LOT_MIN,PRIMARY_FULL_PCBA,CONTROLLED_CUSTOMER_RFQ_SCOPE,CONTROLLED_INTERNAL_ARTICLE_CUSTOMER_EMS_SELECTION_PENDING,Customer-selected qualified EMS; quotation and purchase outside the engineering repository,AOI functional high-current thermal,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-004,PR-004,SYSTEM,HARNESS,Harness,Dioneya controlled design,DIO-HARNESS-SET-REV-A,Controlled labeled station harness set Rev.A,,COMMON,FITTED,1,2,1,41,41,4,45,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_BUILD_TO_PRINT_IDENTITY,CONTROLLED_INTERNAL_ARTICLE_PHYSICAL_RELEASE_PENDING,Customer-selected qualified harness assembler; build only to the controlled drawing and schedule,100 percent continuity polarity pull sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-005,PR-005,SYSTEM,HSG-3D,Housing,TBD,TBD,Assembly,,THREE_D_PRINT_FALLBACK,N/A,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONDITIONAL_NOT_RELEASED,SOURCE_PACKAGE_REQUIRED,Qualified print supplier or controlled FlashForge 5M Pro process,Engineering sample dimensions material finish leak fit acoustic and RF checks,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-006,PR-006,SYSTEM,HSG-IM,Housing,TBD,TBD,Source_data,,INJECTION_MOLDING_FUTURE,N/A,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONDITIONAL_NOT_RELEASED,SOURCE_PACKAGE_REQUIRED,Qualified mold manufacturer for DFM quotation,Source audit wall draft ribs bosses parting ejector shrink material and tooling concept,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-007,PR-007,SYSTEM,HSG-VC,Housing,Dioneya controlled design,DIO-HSG-VC-REV-A,Vacuum-cast polyurethane housing set build-to-print scope,,VACUUM_CASTING_PRIMARY,N/A,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_CUSTOMER_RFQ_SCOPE,CONTROLLED_INTERNAL_ARTICLE_MECHANICAL_RELEASE_PENDING,Customer-selected qualified vacuum-casting supplier; quotation and purchase outside the engineering repository,FAI dimensions material cure finish inserts leak fit acoustic and RF checks,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-008,PR-008,PCB-MAIN,PCB-MAIN,Bare PCB,Dioneya controlled design,DIO-PCB-MAIN-REV-A,6-layer FR-4 110x75x1.6 mm build-to-print fabrication scope,,COMMON,N/A,1,2,1,41,41,4,45,FIXED_LOT_MIN,ALTERNATIVE_BARE_PCB_QUOTATION_ONLY,CONTROLLED_CUSTOMER_RFQ_SCOPE,CONTROLLED_INTERNAL_ARTICLE_CUSTOMER_FAB_SELECTION_PENDING,Customer-selected qualified PCB fabricator; quotation and purchase outside the engineering repository,Coupon dimensions finish stackup impedance and netlist test,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-009,PR-009,PCB-MIC,PCB-MIC,Bare PCB,Dioneya controlled design,DIO-PCB-MIC-REV-A,2-layer FR-4 microphone PCB build-to-print fabrication scope,,COMMON,N/A,4,2,1,41,164,4,168,FIXED_LOT_MIN,ALTERNATIVE_BARE_PCB_QUOTATION_ONLY,CONTROLLED_CUSTOMER_RFQ_SCOPE,CONTROLLED_INTERNAL_ARTICLE_CUSTOMER_FAB_SELECTION_PENDING,Customer-selected qualified PCB fabricator; quotation and purchase outside the engineering repository,Outline hole position finish netlist,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-010,PR-010,PCB-PWR,PCB-PWR,Bare PCB,Dioneya controlled design,DIO-PCB-PWR-REV-A,4-layer FR-4 90x60x1.6 mm build-to-print fabrication scope; EVT DIM-003 and H1-H4 accepted; outer 2 oz target; inner 1 oz target; final stackup pending DFM,,COMMON,N/A,1,2,1,41,41,4,45,FIXED_LOT_MIN,ALTERNATIVE_BARE_PCB_QUOTATION_ONLY,CONTROLLED_CUSTOMER_RFQ_SCOPE,CONTROLLED_INTERNAL_ARTICLE_CUSTOMER_FAB_SELECTION_PENDING,Customer-selected qualified PCB fabricator; quotation and purchase outside the engineering repository,Copper thickness netlist high-current and Kelvin review,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
