Gate_ID,Fabricator_Slot,Required_Party,Requirement,Required_Evidence,Disposition,Response_Value,Response_Reference,Responder,Response_Date,Blocking
FAB-A-STACKUP-CROSS-SECTION,FAB-A,FABRICATOR,"Return the complete six-layer cross-section for a 1.60 mm finished board including layer order core and prepreg construction dielectric thicknesses and finished-thickness tolerance","Signed stackup drawing or controlled quotation attachment",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-MATERIAL-DK-DF,FAB-A,FABRICATOR,"Identify laminate and prepreg material system Tg Dk and Df values plus cited test method frequency and material lot-control policy","Material data sheet and controlled material declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-COPPER-PLATING,FAB-A,FABRICATOR,"State base and finished outer copper inner copper and minimum hole-wall plating thicknesses with production tolerances","Stackup drawing and plating capability declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-RF50-GEOMETRY,FAB-A,FABRICATOR,"Provide solver-backed 50 Ohm single-ended geometry for the intended outer signal layer and adjacent reference including width copper thickness dielectric height mask model solver frequency and tolerance","Impedance calculation or field-solver report tied to the proposed stackup",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-USB90-GEOMETRY,FAB-A,FABRICATOR,"Provide solver-backed 90 Ohm differential geometry including route and reference layers trace width pair gap copper thickness dielectric height mask model solver frequency and tolerance","Impedance calculation or field-solver report tied to the proposed stackup",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-IMPEDANCE-TOLERANCE,FAB-A,FABRICATOR,"State the guaranteed production tolerance and acceptance limits for both 50 Ohm single-ended and 90 Ohm differential structures","Written controlled-impedance capability and acceptance declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-IMPEDANCE-COUPON,FAB-A,FABRICATOR,"Propose representative 50 Ohm and 90 Ohm coupon structures location coupons per panel measurement method and lot report format","Coupon drawing plus TDR or equivalent measurement plan",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-MIN-GEOMETRY-REGISTRATION,FAB-A,FABRICATOR,"State production minimum copper width spacing solder-mask dam mask registration copper-to-edge and layer-registration capabilities with tolerances","Capability table and DFM rule set",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-VIA-DRILL,FAB-A,FABRICATOR,"State preferred standard through-via pad finished drill annular ring aspect ratio and plating limits and identify any proposed advanced-via process without authorizing it","Drill and via capability table",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-MASK-FINISH,FAB-A,FABRICATOR,"Propose solder-mask type color cured thickness dielectric model and surface finish with thickness ranges and assembly compatibility","Material data and finish capability declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-A-PANEL-NETTEST-DFM,FAB-A,FABRICATOR,"State quotation panel assumptions 100 percent net-test capability against released IPC-356 lot traceability and the process for returning and closing DFM exceptions before fabrication","Controlled quotation assumptions test declaration traceability format and DFM response process",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-STACKUP-CROSS-SECTION,FAB-B,FABRICATOR,"Return the complete six-layer cross-section for a 1.60 mm finished board including layer order core and prepreg construction dielectric thicknesses and finished-thickness tolerance","Signed stackup drawing or controlled quotation attachment",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-MATERIAL-DK-DF,FAB-B,FABRICATOR,"Identify laminate and prepreg material system Tg Dk and Df values plus cited test method frequency and material lot-control policy","Material data sheet and controlled material declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-COPPER-PLATING,FAB-B,FABRICATOR,"State base and finished outer copper inner copper and minimum hole-wall plating thicknesses with production tolerances","Stackup drawing and plating capability declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-RF50-GEOMETRY,FAB-B,FABRICATOR,"Provide solver-backed 50 Ohm single-ended geometry for the intended outer signal layer and adjacent reference including width copper thickness dielectric height mask model solver frequency and tolerance","Impedance calculation or field-solver report tied to the proposed stackup",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-USB90-GEOMETRY,FAB-B,FABRICATOR,"Provide solver-backed 90 Ohm differential geometry including route and reference layers trace width pair gap copper thickness dielectric height mask model solver frequency and tolerance","Impedance calculation or field-solver report tied to the proposed stackup",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-IMPEDANCE-TOLERANCE,FAB-B,FABRICATOR,"State the guaranteed production tolerance and acceptance limits for both 50 Ohm single-ended and 90 Ohm differential structures","Written controlled-impedance capability and acceptance declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-IMPEDANCE-COUPON,FAB-B,FABRICATOR,"Propose representative 50 Ohm and 90 Ohm coupon structures location coupons per panel measurement method and lot report format","Coupon drawing plus TDR or equivalent measurement plan",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-MIN-GEOMETRY-REGISTRATION,FAB-B,FABRICATOR,"State production minimum copper width spacing solder-mask dam mask registration copper-to-edge and layer-registration capabilities with tolerances","Capability table and DFM rule set",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-VIA-DRILL,FAB-B,FABRICATOR,"State preferred standard through-via pad finished drill annular ring aspect ratio and plating limits and identify any proposed advanced-via process without authorizing it","Drill and via capability table",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-MASK-FINISH,FAB-B,FABRICATOR,"Propose solder-mask type color cured thickness dielectric model and surface finish with thickness ranges and assembly compatibility","Material data and finish capability declaration",PENDING_EXTERNAL_RESPONSE,,,,,YES
FAB-B-PANEL-NETTEST-DFM,FAB-B,FABRICATOR,"State quotation panel assumptions 100 percent net-test capability against released IPC-356 lot traceability and the process for returning and closing DFM exceptions before fabrication","Controlled quotation assumptions test declaration traceability format and DFM response process",PENDING_EXTERNAL_RESPONSE,,,,,YES
