Step,Gate,Operation,Applies_To,Prerequisite,Equipment_or_Document,Acceptance,Evidence,Rework_or_Hold,Status
MFG-010,QG0,Verify released manufacturing bundle,LOT,SHA256 manifest available,Release index and verifier,All hashes match and no OPEN blocker authorized for build,Verification log,HOLD,OPEN
MFG-020,QG0,Verify materials and deviations,LOT,Incoming inspection completed,BOM AVL IC records NCR log,All items accepted or deviation signed,Material release record,HOLD,OPEN
MFG-030,QG0,Assign serials and travellers,20_units,Serial register blank and controlled,LOT_SERIAL_REGISTER and traveller,Exactly DIO-EVT-001 through 020 no duplicates,Serial register,HOLD,OPEN
MFG-040,QG1,Stencil paste placement and reflow,PCB_MAIN_PCB_PWR_PCB_MIC,Released Gerber PnP BOM stencil and profile,Printer placer oven thermocouples,Profile within frozen paste limits and traceable batch,Reflow profile plus machine exports,Approved rework only,OPEN
MFG-050,QG1,AOI visual and X-ray,ALL_PCBA,Reflow complete,AOI microscope X-ray plan,IC-004 and IC-005 accepted,Images and defect log,Rework then repeat inspection,OPEN
MFG-060,QG1,Bare power resistance check,ALL_PCBA,Inspection accepted,DMM current-limited supply,No rail-to-ground short against released limits,Measurements,HOLD and diagnose,OPEN
MFG-070,QG1,First power with current limit,PCB_MAIN_PCB_PWR,Resistance accepted,Bench supply logger thermal camera,No latch-up overheating or current limit event,Power log plus thermal image,HOLD and diagnose,OPEN
MFG-080,QG1,Program immutable boot foundation,PCB_MAIN,First power accepted,Trusted programmer signed release manifest,Readback version and protection state match release,Programmer log by serial,Scrap or controlled recovery,OPEN
MFG-090,QG1,Program station and coprocessor test builds,PCB_MAIN,Boot foundation accepted,Programmer and manifests,Hashes and versions match selected release,Programmer log,Repeat only under work instruction,OPEN
MFG-100,QG1,PCB_MAIN boundary scan and interface self-test,PCB_MAIN,Test firmware loaded,EOL fixture and self-test,All fitted interfaces enumerate and test points pass,Machine-readable log,Rework and rerun full step,OPEN
MFG-110,QG1,PCB_PWR load and protection test,PCB_PWR,First power accepted,Electronic load surge fixtures and thermal camera,All rails protection and temperature within frozen limits,CSV waveforms and thermal images,HOLD and diagnose,OPEN
MFG-120,QG1,PCB_MIC individual acoustic test,PCB_MIC,Visual inspection accepted,Calibrated speaker reference mic fixture,Identity sensitivity noise and phase within frozen limits,Per-board calibration CSV,Reject or approved rework,OPEN
MFG-130,QG1,Build and verify harnesses,HARNESS,Incoming accepted,Harness tester and drawing,100 percent continuity polarity labels and length pass,Tester export,Rework then full retest,OPEN
MFG-140,QG1,Install PCB and antennas in electronics module,20_units,Subassemblies accepted,Assembly drawing torque tools ESD bench,No interference; antennas and coax routing match drawing,Traveller photos and torques,Disassemble under controlled instruction,OPEN
MFG-150,QG1,Assemble four-microphone geometry,20_units,Four accepted PCB_MIC and housing parts,Geometry jig and calibrated measurement,Triangle sides and MIC4 offset within released tolerance,Measurements plus photo,Adjust or replace parts,OPEN
MFG-160,QG1,Install seals membranes and vents,20_units,Housing parts accepted,Assembly drawing gauges and clean bench,Correct lot orientation compression and clean acoustic ports,Lot refs plus close-up photos,Replace single-use seals,OPEN
MFG-170,QG1,Assemble lower power module,20_units,Battery MPPT PCB_PWR accepted,Insulated tools fuse and torque plan,Polarity fuse BMS MPPT and strain relief correct,Traveller plus torque values,HOLD on any polarity conflict,OPEN
MFG-180,QG1,Join modules and protective earth if applicable,20_units,Upper and lower modules complete,Released interconnect drawing and DMM,Connector keying continuity insulation and fuse correct,Continuity record,HOLD and diagnose,OPEN
MFG-190,QG1,Trusted provisioning,20_units,Hardware identity stable,Offline provisioning station and MFG-003 procedure,Unique serial IDs keys and certificates installed and verified,Controlled provisioning receipt,Zeroize and reprovision only by authorization,OPEN
MFG-200,QG1,Apply labels and QR,20_units,Provisioning accepted,Released label artwork and scanner,Human text and QR resolve same serial HW region and device ID,Scan log plus photo,Replace label and rescan,OPEN
MFG-210,QG2,Run 100 percent EOL,20_units,Fully assembled unit,EOL fixture network simulators RF loads and EOL spec,All mandatory EOL tests PASS with original logs,EOL bundle by serial,Rework then full EOL rerun,OPEN
MFG-220,QG2,Leak test before live outdoor exposure,20_units,EOL electrical safe,Pressure decay or approved leak fixture,Meets frozen enclosure-specific limit,Leak curve,HOLD and inspect seals,OPEN
MFG-230,QG2,Final visual and configuration audit,20_units,EOL and leak accepted,Traveller serial register manifests,No damage; all identifiers and configuration mutually consistent,Final checklist and photos,HOLD,OPEN
MFG-240,QG2,Close traveller and unit passport,20_units,All steps accepted,Controlled records,No blank mandatory field and evidence paths resolve,Signed traveller and passport,HOLD,OPEN
MFG-250,QG2,Pack for EVT transport,20_units,Unit released,Packing instruction ESD caps battery rules,Correct accessories protection state and labels,Packing photo and pack list,Repack,OPEN
MFG-260,QG2,Lot release review,LOT,20 unit records closed,Lot review board,Zero unexplained missing unit; deviations dispositioned,Lot release minutes,HOLD,OPEN
