RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U10,E22-900M22S,SMD_20x14_22P_1.27mm,1,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,First module ground pad
U10,E22-900M22S,SMD_20x14_22P_1.27mm,2,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,Module ground pad
U10,E22-900M22S,SMD_20x14_22P_1.27mm,3,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,Module ground pad
U10,E22-900M22S,SMD_20x14_22P_1.27mm,4,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,Module ground pad
U10,E22-900M22S,SMD_20x14_22P_1.27mm,5,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,Module ground pad beside RF-switch controls
U10,E22-900M22S,SMD_20x14_22P_1.27mm,6,RXEN,INPUT,LORA_RXEN,RF_SWITCH_CONTROL_LOCKED,100 kOhm pull-down to GND; STM32 PD8 output initializes LOW; assert HIGH only for RX and only while TXEN is LOW,Ebyte_E22-M_v1.2_2026-02-06,Separate MCU control follows the current Ebyte recommended circuit and truth table
U10,E22-900M22S,SMD_20x14_22P_1.27mm,7,TXEN,INPUT,LORA_TXEN,RF_SWITCH_CONTROL_LOCKED,100 kOhm pull-down to GND; STM32 PB15 output initializes LOW; assert HIGH only for TX and only while RXEN is LOW,Ebyte_E22-M_v1.2_2026-02-06,Separate MCU control is used instead of DIO2 RF-switch mode
U10,E22-900M22S,SMD_20x14_22P_1.27mm,8,DIO2,BIDIR,NC,UNUSED_IO_NC,No copper connection and explicit no-connect marker,Ebyte_E22-M_v1.2_2026-02-06,DIO2-to-TXEN short is forbidden because Rev.A uses separate TXEN control
U10,E22-900M22S,SMD_20x14_22P_1.27mm,9,VCC,POWER,3V3_DIGITAL,SUPPLY_LOCKED,Local 100 nF plus 10 uF ceramic decoupling; branch supports at least 182 mA transient current,Ebyte_E22-M_v1.2_2026-02-06,3.3 V exceeds the 3.0 V full-output recommendation without exceeding 3.7 V maximum
U10,E22-900M22S,SMD_20x14_22P_1.27mm,10,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,Supply return
U10,E22-900M22S,SMD_20x14_22P_1.27mm,11,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,Supply return
